Source_Name	KNeighborsClassifier	LinearSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0104.5-0820 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0106.4+5938 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0110.8+4345 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0111.2-0623 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0112.1-0320 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0115.4-2917 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0117.3+5922 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0118.2-6006 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0120.1+0506 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0122.1-3004 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0124.0+6142 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0125.9-6303 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0126.3-6746 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0126.7-0003 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0126.8+2410 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0127.8+4855 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0128.1+4404 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0128.3+5709 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0128.6+6251 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0129.4+1441 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0130.5-2130 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0131.7-5346 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0132.0-0957 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0138.5-4612 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0138.6+6821 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0139.5-2227 	PSR	AGN	AGN	PSR	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0140.3+7054 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0140.6-4730 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0143.9+4945 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0147.5-1321 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
