Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0838.0-4047 	YNG	MSP	YNG	YNG	YNG	YNG	MSP	MSP	MSP	YNG	YNG	YNG
FL8Y J0838.7-2827 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0840.8-4129 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0843.4+6713 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J0843.5-4224 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0845.7-4322 	YNG	MSP	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0848.9-4254 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0853.9-4407 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0854.8-4503 	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG	MSP	YNG	YNG
FL8Y J0855.1-4826 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0855.4-4749 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0856.8-4347 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0858.1-4244 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0858.6-4819 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0859.4-4345 	MSP	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0859.6-4725 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0900.4-4407 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0900.6-4834 	YNG	MSP	MSP	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0900.6-4607 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0900.6-4447 	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0901.6-4654 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0902.9-4635 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0903.0-4755 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0903.4-5000 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0903.9-4718 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0904.9-4913 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0905.0-4834 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0905.7-4801 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0906.0-4645 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0907.8-4712 	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	MSP	YNG	YNG
FL8Y J0913.5-4747 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0918.5-4904 	YNG	MSP	YNG	YNG	YNG	YNG	MSP	YNG	MSP	YNG	YNG	YNG
FL8Y J0922.2-5141 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0926.1-5338 	YNG	MSP	MSP	YNG	YNG	MSP	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J0933.8-6232 	MSP	MSP	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	YNG	MSP
FL8Y J0933.9-5126 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J0940.5-7610 	MSP	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	MSP	YNG	MSP
